Rank,College_Name,Location
806,Abhilashi University,Chailchowk
807,North East Frontier Technical University,Aalo
808,Raffles University,Neemrana
809,Bareilly International University,Bareilly
810,Dr. Shakuntala Misra National Rehabilitation University,Lucknow
811,Bhatkhande Sanskriti Vishwavidyalaya,Lucknow
812,Central University of Andhra Pradesh,Anantapur
813,Shri Guru Ram Rai Education Mission,Dehradun
814,Apex Professional University,Pasighat
815,"National Institute of Pharmaceutical Education and Research, Hajipur",Hajipur
816,Ponnaiyan Ramajayam Institute of Science and Technology,Thanjavur
817,"William Carey University, Shillong",Shillong
818,C.U. Shah University,Wadhwan
819,Chandulal Chandrakar Patrakarita Avam Jansanchar Vishwavidyalaya,Raipur
820,Dada Lakhmi Chand State University of Performing and Visual Arts,Rohtak
821,Bhupal Nobles University,Udaipur
822,The Sanskrit College and University,Kolkata
823,"Maharishi Markandeshwar University, Sadopur",Ambala
824,"Maharishi Arvind University, Jaipur",Mundiya Purohitan
825,Shri Jagannath Sanskrit Vishvavidyalaya,Puri
826,"University of Agricultural Sciences, Raichur",Raichur
827,"ICFAI University, Himachal Pradesh",Baddi
828,Bengaluru North University,Kolar
829,G.H. Raisoni University,Saikheda
830,"ICFAI University, Raipur",Durg
831,Pragyan International University,Ranchi
832,Maharishi University of Management and Technology,Bilaspur
833,Arni University,Kathgarh
834,Sanjay Ghodawat University,Kolhapur
835,TeamLease Skills University,Tarsali
836,Spicer Adventist University,Pune
837,Jagadguru Rambhadracharya Handicapped University,Chitrakoot
838,Sri Venkateswara Vedic University,Tirupati
839,Rama Devi Women's University,Bhubaneswar
840,Sri Konda Laxman Telangana State Horticultural University,Hyderabad
841,Sangai International University,Churachandpur
842,"ICFAI University, Meghalaya",Tura
843,Plastindia International University,Vapi
844,Indrashil University,Rajpur
845,Pratap University,Jaipur
846,Khwaja Moinuddin Chishti Language University,Lucknow
847,Sant Baba Bhag Singh University,Jalandhar
848,Maharshi Panini Sanskrit Vishwavidyalaya,Ujjain
849,Mohammad Ali Jauhar University,Rampur
850,Arunodaya University,Itanagar
851,Apeejay Stya University,Gurgaon
852,YBN University,Ranchi
853,Karnataka State Rural Development and Panchayat Raj University,Gadag
854,Maharaja Bir Bikram University,Agartala
855,Ras Bihari Bose Subharti University,Dehradun
856,Pacific Medical University,Udaipur
857,Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved University,Jodhpur
858,K.K. University,Biharsharif
859,KSGH Music and Performing Arts University,Mysore
860,Jaypee University Anoopshahr,Anupshahr
861,Kumar Bhaskar Varma Sanskrit and Ancient Studies University,Nalbari
862,Rai Technology University,Doddaballapura
863,Swarnim Gujarat Sports University,Gandhinagar
864,Lakulish Yoga University,Ahmedabad
865,Indus International University,Bathu
866,Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Katni
867,Malwanchal University,Indore
868,P.K. University,Village Thanara
869,"ICFAI University, Nagaland",Dimapur
870,Starex University,Gurgaon
871,Indira Gandhi Technological and Medical Sciences University,Ziro
872,Karnataka Janapada Vishwavidyalaya,Shiggaon
873,NIILM University,Kaithal
874,Assam Rajiv Gandhi University of Cooperative Management,Sivasagar
875,St. Joseph University,Dimapur
876,Sai Tirupati University,Udaipur
877,"ICFAI University, Mizoram",Aizawl
878,"Maulana Azad University, Jodhpur",Jodhpur
879,Manipur University of Culture,Imphal
880,Bhabha University,Bhopal
881,Jharkhand Raksha Shakti University,Ranchi
882,Manipur International University,Imphal
883,SKIPS University,Ahmedabad
884,Tamil Nadu Dr.J Jayalalithaa Music and Fine Arts University,Chennai
885,Haridev Joshi University of Journalism and Mass Communication,Jaipur
886,BAHRA University,Waknaghat
887,CMJ University,Jorabat
888,Dr YSR Architecture and Fine Arts University,Kadapa
889,Lokbharati University for Rural Innovation,Bhavnagar
890,"Sandip University, Sijoul",Sijoul
891,Babu Dinesh Singh University,Garhwa
Un,Chhattisgarh Kamdhenu Vishwavidyalaya,Raipur
Un,Manav Rachna International Institute of Research and Studies,Faridabad
Un,"Uttarakhand Aawasiya Vishwavidyalaya, Almora",Almora
